instance,category,n,m,bfs_time (s),ANS_preprocess_time (s),HSC_fixing_time (s),ANS_fixing_time (s)
supportcase14.mps,easy,608,5204,1.397033452987671,0.021373510360717773,0.10736203193664551,0.0
supportcase16.mps,easy,638,6084,1.1835174560546875,0.015495777130126953,0.17555665969848633,0.0
