instance,category,n,m,bfs_time (s),ANS_preprocess_time (s),HSC_elimination_time (s),ANS_elimination_time (s)
supportcase14.mps,easy,608,5204,1.1867291927337646,0.019993066787719727,0.0029981136322021484,0.0
supportcase16.mps,easy,638,6084,1.3301572799682617,0.015073776245117188,0.002999544143676758,0.0
acc-tight5.mps,easy,2678,20859,10.092528104782104,0.3580949306488037,0.026000499725341797,0.0
neos-1330346.mps,easy,5328,6624,20.2026047706604,1.081151008605957,0.009998321533203125,0.0
bnatt400.mps,easy,7200,11639,26.411229610443115,1.7165329456329346,0.035562992095947266,0.0
neos-831188.mps,easy,9224,35734,72.10504102706909,2.9343409538269043,0.037076473236083984,0.0
neos-1324574.mps,easy,10512,10512,48.74548268318176,3.631721258163452,0.012002944946289062,0.0
