instance,category,n,m,bfs_time (s),ANS_preprocess_time (s),HSC_fixing_time (s),ANS_fixing_time (s)
supportcase14.mps,easy,608,5204,0.795393705368042,0.016954898834228516,0.1036691665649414,0.0
supportcase16.mps,easy,638,6084,0.87154221534729,0.01575493812561035,0.15139079093933105,0.0
acc-tight5.mps,easy,2678,20859,8.221622943878174,0.21956872940063477,2.1450440883636475,0.0
neos-1330346.mps,easy,5328,6624,17.56275224685669,1.0481641292572021,0.10160398483276367,0.0
bnatt400.mps,easy,7200,11639,31.285459518432617,1.6817355155944824,0.6870675086975098,0.0
neos-831188.mps,easy,9224,35734,52.94363212585449,2.7528328895568848,0.40250253677368164,0.0
neos-1324574.mps,easy,10512,10512,45.57990217208862,3.584407329559326,0.33854079246520996,0.0
